"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 18 13:06:39 IST 2022","Tue Oct 18 13:06:43 IST 2022","4223","","createOrganizationAndCheckDataFlowInContactModule","","createOrganizationAndCheckDataFlowInContactModule","Contact home page ","Contact home page ",""
"passed","Tue Oct 18 12:57:35 IST 2022","Tue Oct 18 12:57:46 IST 2022","10422","","deleteOrganization","","deleteOrganization","validate the deleted organization present in list of organization","validate the deleted organization present in list of organization",""
"passed","Tue Oct 18 12:57:30 IST 2022","Tue Oct 18 12:57:35 IST 2022","5278","","deleteOrganization","","deleteOrganization","deleteTheCreatedOrganization","deleteTheCreatedOrganization",""
"broken","Tue Oct 18 13:06:45 IST 2022","Tue Oct 18 13:06:55 IST 2022","10111","","createOrganizationAndCheckDataFlowInContactModule","","createOrganizationAndCheckDataFlowInContactModule","logout","logout",""
"passed","Tue Oct 18 16:03:52 IST 2022","Tue Oct 18 16:04:09 IST 2022","17134","","deleteOrganization","","deleteOrganization","login","login",""
"broken","Tue Oct 18 16:04:18 IST 2022","Tue Oct 18 16:04:27 IST 2022","8424","","deleteOrganization","","deleteOrganization","deleteTheCreatedOrganization","deleteTheCreatedOrganization",""
"passed","Tue Oct 18 12:57:24 IST 2022","Tue Oct 18 12:57:30 IST 2022","6266","","deleteOrganization","","deleteOrganization","fill all details in create new organization page","fill all details in create new organization page",""
"passed","Tue Oct 18 16:04:27 IST 2022","Tue Oct 18 16:04:37 IST 2022","10366","","deleteOrganization","","deleteOrganization","validate the deleted organization present in list of organization","validate the deleted organization present in list of organization",""
"passed","Tue Oct 18 14:45:09 IST 2022","Tue Oct 18 14:45:17 IST 2022","7923","","createOrganization","","createOrganization","validating created organization","validating created organization",""
"passed","Tue Oct 18 12:57:15 IST 2022","Tue Oct 18 12:57:24 IST 2022","8666","","deleteOrganization","","deleteOrganization","login","login",""
"passed","Tue Oct 18 13:06:18 IST 2022","Tue Oct 18 13:06:27 IST 2022","8890","","createOrganizationAndCheckDataFlowInContactModule","","createOrganizationAndCheckDataFlowInContactModule","login","login",""
"passed","Tue Oct 18 13:06:33 IST 2022","Tue Oct 18 13:06:39 IST 2022","5578","","createOrganizationAndCheckDataFlowInContactModule","","createOrganizationAndCheckDataFlowInContactModule","organization information page","organization information page",""
"passed","Tue Oct 18 15:26:13 IST 2022","Tue Oct 18 15:26:18 IST 2022","5199","","createOrganization","","createOrganization","login","login",""
"broken","Tue Oct 18 13:06:43 IST 2022","Tue Oct 18 13:06:45 IST 2022","2051","","createOrganizationAndCheckDataFlowInContactModule","","createOrganizationAndCheckDataFlowInContactModule","create New contact with the organization created","create New contact with the organization created",""
"passed","Tue Oct 18 14:45:02 IST 2022","Tue Oct 18 14:45:09 IST 2022","7203","","createOrganization","","createOrganization","fill all details in create new organization page","fill all details in create new organization page",""
"passed","Tue Oct 18 16:04:09 IST 2022","Tue Oct 18 16:04:18 IST 2022","9230","","deleteOrganization","","deleteOrganization","fill all details in create new organization page","fill all details in create new organization page",""
"passed","Tue Oct 18 14:44:53 IST 2022","Tue Oct 18 14:45:02 IST 2022","8200","","createOrganization","","createOrganization","login","login",""
"passed","Tue Oct 18 15:26:18 IST 2022","Tue Oct 18 15:26:26 IST 2022","8260","","createOrganization","","createOrganization","fill all details in create new organization page","fill all details in create new organization page",""
"passed","Tue Oct 18 13:06:27 IST 2022","Tue Oct 18 13:06:33 IST 2022","6419","","createOrganizationAndCheckDataFlowInContactModule","","createOrganizationAndCheckDataFlowInContactModule","fill all details in create new organization page","fill all details in create new organization page",""
"broken","Tue Oct 18 15:26:26 IST 2022","Tue Oct 18 15:26:33 IST 2022","6763","","createOrganization","","createOrganization","validating created organization","validating created organization",""
